CRO58_giftvals,,,
Last Run On,2020-10-29 16:45:01,,
View Name,Master View,,
Total Results Found,940,,
Total Results Returned,940,,
Contains Sampled Data,No,,
,,,
,,,
,,,
Totals For All Results,,,
,,Unique Purchases,Product Revenue
,,979,46971.5
,,,
Results Breakdown,,,
Transaction ID,Experiment ID with Variant,Unique Purchases,Product Revenue
00D11839GY146693J,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
00T76116JS115341W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
02190577VH959984K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
03J92162H4925304A,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
04L61572Y36650448,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
05955439HP825143W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
05L21612BS7475025,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
6.49836E+15,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
07Y63856YF6775708,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
09337335P0428694U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0AD03126KP738610L,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
0C360107DX6922523,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
0E224438VB664500F,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0E634759L1656535M,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
0FR51902JK2916131,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
0G742551S04500801,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
0GM94697FF069235N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
0HS38591RP633762C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
0JP211560B8000431,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
0KJ03595RC332831J,p1QJ_NkPQ9upbkKUn--OhQ:1,1,2
0KX09233XG305504L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
0LR169189J3494328,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
0MJ38751T02796849,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0MY00029MX348542N,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0N605599WX5331055,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
0NE27541ER556304L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0NH105096S889304N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
0R698048MM3658022,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
0TD11647MY026624J,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
0U600061YU906243P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
0UR68716G64000011,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
0UV552547J781542H,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
0XT07536ED826044E,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
0Y3082993N876492M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
0YS69246TF508011G,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
10C87222AY5854427,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
11B7120820233514A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
12B16414YE198201M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,150
13G21651JE9703737,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
13H37979J8479930B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
13R08817LS147204P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
14W07874UH190420W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
15564322E5747803Y,p1QJ_NkPQ9upbkKUn--OhQ:1,1,75
16374074RH2518540,p1QJ_NkPQ9upbkKUn--OhQ:0,1,200
16859211CN3269628,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
18516405LU7867942,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
18C18976U7229551X,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
194370392P555004T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
19D30728MU8819805,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
1A14602398167732P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
1AE26971G9357203P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
1B284028PX285134N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
1BP76260FG334135K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
1DE73632NK882963P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
1E6683943D0648322,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
1EH172576T383873U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
1FV7309763225832V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
1GY37797VK3424240,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
1J772017SP225754E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
1JT11194T90420522,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
1JW01942VB166904G,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
1K682577K5044723Y,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
1MG84020E91407533,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
1NY04773D94488014,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
1T390641TR377702S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
1TL26799XN528613X,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
1U837831NH314372H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
1UH67348MH342443S,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
1VK12574YB492393T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
1VX34437Y7877524W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
1W944799HE589972V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
1WA41724D5984064W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
1Y634149TG1698329,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
20S920279W2025849,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
20U97862RW7059257,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
211086540J114994S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
21E52820WT139921B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
2208441905385703A,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
225808319J187071D,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
22Y0189835384570B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
23B916016C8257546,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
257772293S0339727,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
25N604661N896262N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,500
26193725T9414832C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
26Y819243S992733B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
2A91149052578722M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
2DP398588L111461L,p1QJ_NkPQ9upbkKUn--OhQ:0,1,3
2E6919334V636641L,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
2EW562957M750864U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
2EY37564C9779954N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
2FN038404F952032D,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
2G3064711P015933X,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
2GX93944FX787914K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
2J938233RH714290H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
2JU15402VS8396238,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
2JX76808SD200904W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,250
2LL35491TN329582C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
2LP48813G7816103U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
2N0684135B4085442,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
2N39859747781673R,p1QJ_NkPQ9upbkKUn--OhQ:0,2,20
2NL59608SD107893K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
2P273079G24737611,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
2P277102PF9218310,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
2PK38226WX600121S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
2S496877GX909954U,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
2U8371050T1800705,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
2UG995136K8005521,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
2UR96561J39729023,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
2UT645935A127463V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
2VS96080LL6762944,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
2VT69483530669321,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
2W248781Y7037370M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
2WC30415EC266925X,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
2X38883250517192B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
30814781X8124284R,p1QJ_NkPQ9upbkKUn--OhQ:0,1,500
31K81828K4686672V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
33317088MW396202K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
33A94183CP8001250,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
34C72374D25941306,p1QJ_NkPQ9upbkKUn--OhQ:1,1,200
35L93226PD521300F,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
35Y410089A5201012,p1QJ_NkPQ9upbkKUn--OhQ:1,1,1000
36484929UK359315K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
36E14057HX878633K,p1QJ_NkPQ9upbkKUn--OhQ:1,2,60
38K162596X8928744,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
38U66763BJ1574047,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
3A50853525267922H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
3AG72064DW190433V,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
3B517802YH999114H,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
3BT01391K9947332C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,15
3C597278J1195112Y,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
3DW90744T6720764G,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
3DY749402K615703V,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
3EU300566U656280C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
3G18012133397331L,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
3G792543YH179014M,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
3GP11456B76334300,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
3HE55659FY887591W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
3LS80009DK365411N,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
3M554682X6392201X,p1QJ_NkPQ9upbkKUn--OhQ:1,1,1000
3MB66334R23550145,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
3MH84738E30339610,p1QJ_NkPQ9upbkKUn--OhQ:0,1,40
3P407551F06344733,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
3R001239XG6363714,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
3R639452TW3420804,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
3R6885641W8154827,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
3RJ423079U727870J,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
3S012541NP834521D,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
3SH36425HA051115E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
3T5908988X669345N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
3T9320756L934952V,p1QJ_NkPQ9upbkKUn--OhQ:0,2,40
3TW406038Y8122335,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
3UP71683WX2679521,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
3V739734SA987464C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
3W502806UJ676801V,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
3X328321M96364821,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
3X5913820S538470B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
3XX37523ML516931S,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
40164861BG4863100,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
40A70076EF9171103,p1QJ_NkPQ9upbkKUn--OhQ:0,3,75
41Y145815C133700C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
45X82315473450905,p1QJ_NkPQ9upbkKUn--OhQ:0,1,500
46K565326R448323N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
477998791R060650B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
47S080795R7011709,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
47S69514B6852414S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
48K68019174186413,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
49C67323CM414394T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
49P00872S32443116,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
49T42492CY963052Y,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
4AD24944N66099837,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
4CH54853U3882773H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
4CP72788EC370842K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
4CR76759RK0121315,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
4D591180HL931473W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
4D741112TS8558158,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
4DG91882K6006815F,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
4G0947028Y388853N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
4GB12668PC083291R,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
4GG76472RX3131444,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
4HB2693356854990T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
4HL83309RM503644E,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
4HP35637ML715530P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
4JE40887C17815244,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
4JS0856161814033Y,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
4JX11854L5742172B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
4KR36083X7557854N,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
4L8605195M395694G,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
4MK49892TL5241412,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
4N808777W04506507,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
4N9047688R290750H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
4NN63684FF933245K,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
4ST52601E8097221T,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
4TC50176Y9514990V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
4TS533738E675042C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
4V199825LW9463905,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
4W514094658751406,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
4WR51057VJ335533M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
4XP83971XF242990A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
4Y350746PX0361824,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
4YS899258N885633U,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
4YW44967P3466711A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
50175001G7953745K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
50H91713DR6531623,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
52772472KR158561P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
52F118705K236740R,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
52P29229R1519712A,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
53G18084WY958870E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
53G47934LX525921R,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
55S80031SM269034E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
56853770BF8531428,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
56B26483CV562452S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
58246294YG1566328,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
58395831XW824321Y,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
58E185625G943045H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
59J42165W8369144Y,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
5AL40038PN259150U,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
5G0808529A358732L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
5HC69876HD308762E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
5J430583J50178038,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
5J552665DK940445T,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
5JH69867DK1156053,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
5JK47377PE394143W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
5KL84151NF196620B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
5LE39003JD4210108,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
5M200255U9629254H,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
5M27878548180902N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
5M38950673243562V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
5MK63216VW017913R,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
5TH83912P7289542Y,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
5TT556520Y1473815,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
5U976648TJ3592848,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
5UJ962263W5490641,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
5UR18876UG757402W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
5VC198514Y684454B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
5VP78214R6872414K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
5WP64408T4230214W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
5WU495197S375511P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
5YB2394488707115G,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
5YY181436X872480D,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
60591328PY9344713,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
60592984R25708449,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
60A95549TL5745201,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
60C34457R4691572D,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
61U16652VL886753V,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
63551885SX974354E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
65E125518F235452V,p1QJ_NkPQ9upbkKUn--OhQ:0,1,500
65Y80921NV287833K,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
67H05072Y5128124Y,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
67J236769T6961359,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
69S292065F057625E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
6AU10227XJ658614K,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
6BL018838R9676400,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6BY09858AB940791H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6C411366AR0993024,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6CX57908Y0652834B,p1QJ_NkPQ9upbkKUn--OhQ:1,7,140
6D841873AU101211A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6DY54610Y4921121P,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
6E573913L2416743W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,8
6EA554644U4030142,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
6ED29517PH0445112,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6F471753E2952351C,p1QJ_NkPQ9upbkKUn--OhQ:0,2,200
6FC61774RV360011D,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6G044984001993120,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6G285507XJ228433T,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
6GP28378RD7841159,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6GT324763X342762B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
6HC74680JK825763U,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
6HP03084K93863547,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
6J5008037R976491Y,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6J817247JG181781P,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6JT57161PN036761G,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6KS34721UW417481N,p1QJ_NkPQ9upbkKUn--OhQ:1,2,20
6KS67518VJ001701F,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
6LP31226Y07998333,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6M276960VR9710933,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
6M977836W4020832R,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6NU44514CJ312103S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
6P537174YE3053506,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
6PA966703W124231A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6R3283485B531392L,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
6RF62612SK457833B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
6S099394KD669245A,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6T312567SP808143S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
6TC763800Y195280L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
6VU46060K13727640,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6W3802652W286403K,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
6WD33683VE2400636,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
6WP33083A1532763E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
6X248424UH262434A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
6X397818UD836682K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
6X4775499U4618453,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6XY53451N3642823C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
6YP564507W762850N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
70K13403XV334724G,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
71H741221M8750130,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
71X49307PF8686913,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
73V64428KB442262F,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
74A662597H7444517,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
