CRO58_giftvals,,,
756844476B9434333,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
75F75042W31647829,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
76398229C0057921L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
76M24919DA629833K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
77507414WF883314C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
78354471L4086494A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
78819625S4708710R,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
79L584425M4314743,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
7A24290708937304R,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
7A261890NS6618038,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
7AG0498322180694Y,p1QJ_NkPQ9upbkKUn--OhQ:1,2,60
7B593729E33278912,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
7C14650340692301N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
7CP47994TD923782C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
7D476416V7734232B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
7DG55169AE262041A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
7F871154TB2638049,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
7GL63786817620935,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
7H192315RF5060024,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
7HA34636490796047,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
7JB41467FH8437353,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
7JJ85310DJ3336513,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
7JV30604NU012651J,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
7NN69097062619702,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
7PB7817883506745J,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
7PS72162147528453,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
7R791315AU417573V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
7RL42589JX5349343,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
7RR47655XC936534N,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
7S95864602457894F,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
7T9626964D784743S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
7TJ46878KC545300U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
7TX21459R0565310E,p1QJ_NkPQ9upbkKUn--OhQ:0,2,100
7US50761296982410,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
7VF94741PV7525252,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
7W911581M48850712,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
7WG454678B268680M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
7WN725738G3430318,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
7XU37958TD147635P,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
80676590HL1088359,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
80N75748PH453872C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
815707012W194770T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
81699609NK806883D,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
83N06182UM233570V,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
84J28267R9815082N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
854454294J8843941,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
85B02814G5651291B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
85M39177LV7876333,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
86P84326G12289939,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
87135084MY074223A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
87E3261786119135V,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
88030145FL209393R,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
88080208VG174211S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
88295838K6453123W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
89T1106629039283A,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
8A4982643W211492P,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8AC53603JV682512D,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8AF775271S514751H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8AY86683PL3375730,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
8C144780813410055,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
8C417329YJ729182F,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8EJ04848PX925245L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
8EM713183R1151526,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
8EX005871N0683945,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
8H396620HT203232X,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8JH64320BH0573308,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8JV20312DP215363H,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8KK329760R537335C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8KU38823SU180230C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
8LG714700M635454T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
8LY31383J7132790J,p1QJ_NkPQ9upbkKUn--OhQ:0,1,60
8M767417VT092013K,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
8MB75107MV807730V,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8MN41125F27340810,p1QJ_NkPQ9upbkKUn--OhQ:0,1,40
8N84388977087500E,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
8NC67833BT450053E,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
8PF61992XU6290728,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
8SA27833BG182753A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8T3501582L114484E,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
8U17134759404934U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
8VE982932N943505R,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
8W370054838574434,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
8WP244800D3786901,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
8WR05541PL389493Y,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
8X331805VG0577712,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
8XA96366AL1022233,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
8Y6516566J5510346,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
8Y943352E2287253S,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
90B268391H056262U,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
91D95970KK560680X,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
91U248031M614080U,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
94J64139DG761482T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
94N72788EK6746226,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
94Y09966TL400572L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
95M444890T3815410,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
96578118FT974953T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
96J26762MX573571B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
97K3819282716403C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
99927110DT245635A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
99L37526BN753694D,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
9A42183561108640K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
9AA12665X57765057,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
9AD067330C640170U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
9AP7707002610680B,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
9BF42075TU631334M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
9BY40924SE734005Y,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
9CA09445WW089015W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
9F731179VK398692N,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
9FU84206U5102952A,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
9H767837KK3978034,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
9JF974583M953380B,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
9JG90649KJ777690H,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
9JS20512P7768493C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
9JS66949XN046014M,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
9KL97838A1422544W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,16
9LJ44951NJ981744W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
9MT76779XP3736619,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
9NG0873475609541S,p1QJ_NkPQ9upbkKUn--OhQ:0,2,300
9P482429JL6219101,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
9SH93723F8176315G,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
9SY3458236199422C,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
9TA99696N46832028,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
9TJ91968G9684632J,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
9VM6848241883504T,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
9WD56343JA552720L,p1QJ_NkPQ9upbkKUn--OhQ:0,1,2.5
9XT864766F564062K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14179049848,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC14179050185,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC14179051217,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14179052410,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14179058688,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
ICC14179064485,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14179095813,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14179099613,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14179110328,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14179116288,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC14179141363,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC14179143161,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14179183965,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC14179186156,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC14179191246,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14179245306,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC14179252037,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14179492144,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14179575685,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14179719799,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14179734007,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC14179761681,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC14179808761,p1QJ_NkPQ9upbkKUn--OhQ:0,1,200
ICC14179869346,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14179891160,p1QJ_NkPQ9upbkKUn--OhQ:0,1,150
ICC14179914189,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14179935172,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14179980863,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC14180007138,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC14180019622,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14180035983,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC14180041439,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14180044572,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14180219435,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14180283528,p1QJ_NkPQ9upbkKUn--OhQ:0,2,50
ICC14180309986,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14180321930,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14180667656,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14180678959,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14180820126,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14180834430,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14182871146,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14184076120,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14185743896,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14185894897,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14187235970,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14188984152,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14189053803,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14189332653,p1QJ_NkPQ9upbkKUn--OhQ:1,1,40
ICC14189553244,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14191240560,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14194519353,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC14197772132,p1QJ_NkPQ9upbkKUn--OhQ:1,2,60
ICC14197775312,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14197785822,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14197796609,p1QJ_NkPQ9upbkKUn--OhQ:0,2,50
ICC14197798609,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14197804773,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14197805690,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14197835126,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14197847777,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
ICC14197858096,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14197860072,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14197870952,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14197875644,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14197878294,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC14197903601,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14197905885,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14197923078,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14197924614,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14197926021,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14198003726,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14198121309,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14198128058,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14198169142,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14198177121,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14198249894,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14198250711,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14198319104,p1QJ_NkPQ9upbkKUn--OhQ:0,1,35
ICC14198339610,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14198385232,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC14198412340,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14198462833,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC14198501902,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC14198537469,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14198698724,p1QJ_NkPQ9upbkKUn--OhQ:0,2,100
ICC14198804059,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14198839561,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14198907714,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14199371213,p1QJ_NkPQ9upbkKUn--OhQ:1,1,3
ICC14200627766,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14201335836,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14201423760,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14201803736,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14202210177,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14205148789,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC14208692177,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14209137452,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
ICC14209276251,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC14210024490,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC14211938355,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC14212834586,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC14212995630,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC14214862715,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC14216879585,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC15158087311,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC15158092681,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC15158096178,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC15158105864,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC15158137480,p1QJ_NkPQ9upbkKUn--OhQ:1,3,60
ICC15158152084,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC15158153572,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC15158155615,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC15158157802,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC15158171487,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC15158184609,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC15158202831,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
ICC15158211023,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC15158221688,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC15158258615,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC15158420535,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC15158521095,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15158524431,p1QJ_NkPQ9upbkKUn--OhQ:1,1,200
ICC15158531295,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC15158550081,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC15158566952,p1QJ_NkPQ9upbkKUn--OhQ:1,2,60
ICC15158598548,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15158631664,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC15158632740,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15158636685,p1QJ_NkPQ9upbkKUn--OhQ:1,1,250
ICC15158983605,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC15159162673,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC15159235530,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC15159294876,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC15159312237,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC15159314501,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC15159367333,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15159403347,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC15159436847,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC15159439798,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC15159679270,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC15159683767,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC15159694370,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
ICC15159741837,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15159742785,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC15159768856,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC15159837678,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15159882199,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC15159889118,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC15159918535,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC15159937245,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15159950014,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC15159976516,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15160026082,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC15160029240,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC15160063865,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC15160303380,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC15160561491,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15160716355,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC15161414900,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15161440531,p1QJ_NkPQ9upbkKUn--OhQ:1,2,20
ICC15161463189,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15161630637,p1QJ_NkPQ9upbkKUn--OhQ:1,1,15
ICC15161729161,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15161743181,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC15162419671,p1QJ_NkPQ9upbkKUn--OhQ:0,2,1000
ICC15164162796,p1QJ_NkPQ9upbkKUn--OhQ:1,1,75
ICC15164889397,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC15165949831,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC15166649423,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC16039980761,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC16039988526,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC16039995049,p1QJ_NkPQ9upbkKUn--OhQ:1,1,2
ICC16040001756,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC16040001981,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC16040004247,p1QJ_NkPQ9upbkKUn--OhQ:1,1,15
ICC16040005051,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC16040006062,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC16040010672,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC16040028946,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
ICC16040080587,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC16040089313,p1QJ_NkPQ9upbkKUn--OhQ:0,1,200
ICC16040116662,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC16040130570,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC16040130713,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC16040137076,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC16040148980,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC16040169728,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC16040201898,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC16040203417,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC16040242675,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
